
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301117 	50000 	4.0127e-07*1.0*1.0 	124604381.09 	mc15_13TeV.301117.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_4500M5000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301118 	50000 	1.5346e-07*1.0*1.0 	325817802.68 	mc15_13TeV.301118.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_5000M.merge.AOD.e3663_s2608_s2183_r6869_r6282

301120 	499800 	22.198*1.0*1.0 		22.52 		mc15_13TeV.301120.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_120M180.merge.AOD.e3663_s2608_s2183_r6869_r6282
301121 	249600 	3.2853*1.0*1.0 		75.97 		mc15_13TeV.301121.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_180M250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301122 	149600 	1.0832*1.0*1.0 		138.11 		mc15_13TeV.301122.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_250M400.merge.AOD.e3663_s2608_s2183_r6869_r6282
301123 	99800 	0.17541*1.0*1.0 	568.95 		mc15_13TeV.301123.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_400M600.merge.AOD.e3663_s2608_s2183_r6869_r6282
301124 	50000 	0.03098*1.0*1.0 	1613.94 	mc15_13TeV.301124.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_600M800.merge.AOD.e3663_s2608_s2183_r6869_r6282
301125 	49800 	0.0082865*1.0*1.0 	6009.77 	mc15_13TeV.301125.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_800M1000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301126 	50000 	0.0031594*1.0*1.0 	15825.79 	mc15_13TeV.301126.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1000M1250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301127 	49800 	0.0010029*1.0*1.0 	49656.00 	mc15_13TeV.301127.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1250M1500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301128 	50000 	0.00036812*1.0*1.0 	135825.27 	mc15_13TeV.301128.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1500M1750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301129 	50000 	0.00014945*1.0*1.0 	334560.05 	mc15_13TeV.301129.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1750M2000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301130 	49600 	6.5311e-05*1.0*1.0 	759443.28 	mc15_13TeV.301130.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2000M2250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301131 	50000 	3.0167e-05*1.0*1.0 	1657440.25 	mc15_13TeV.301131.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2250M2500.merge.AOD.e3663_s2608_s2183_r6869_r6282
